sno,date,street,postal code,city,extra
228,02/04/2019,UL. WYSZYŃSKIEGO 2,95-200,PABIANICE,
229,02/04/2019,ul. Pabianicka 245,90-001,"Łódź",
230,02/04/2019,IRENY 8,93-327,"ŁÓDŹ",
231,02/04/2019,Sowinskiego 6,26-500,Szydlowiec,
232,02/04/2019,WOJSKA POLSKIEGO 185,97-300,PIOTRKOW TRYBUNALSKI,
233,02/04/2019,"ul. 3 maja 11, Rawa Mazowiecka",,Rawa Mazowiecka,
235,02/04/2019,Fabryczna 1/3,97-300,Piotrków Trybunalski,
236,03/04/2019,OS. STARE SADY 20B,98-300,WIELUŃ,
237,03/04/2019,STARZYŃSKIEGO 11,95-035,OZORKÓW,
238,03/04/2019,JANA KILIŃSKIEGO 6,99-100,ŁĘCZYCA,
239,03/04/2019,PLAC KOŚCIUSZKI 18A,99-200,PODDĘBICE,
240,03/04/2019,"KOŚCIUSZKI 8",98-200,"SIERADZ",
241,03/04/2019,WOJSKA POLSKIEGO 119,97-400,BEŁCHATÓW,
242,03/04/2019,ul. Pabianicka 245,90-001,"Łódź",
243,03/04/2019,ZIELONA 2B,99-200,PODDĘBICE,
244,04/04/2019,UL. ŻWIRKI 8,90-450,ŁÓDŹ,
245,04/04/2019,BRZECHWY 7A,93-219,ŁÓDŹ,
246,04/04/2019,AL. POLITECHNIKI 1 LOK 49,93-590,"ŁÓDŹ",
247,04/04/2019,"ul. Wojska Polskiego 69, Aleksandrów Łódzki",,Aleksandrów Łódzki,
248,04/04/2019,"pl. Kościuszki 16, Konstantynów Łódzki",,Konstantynów Łódzki,
249,05/04/2019,UL. GEN. J. DĄBROWSKIEGO 15B,93-177,ŁÓDŹ,
250,05/04/2019,Tuwima 22/,90-002,"Łódź",
251,05/04/2019,Rynek 1,42-230,Koniecpol,
252,05/04/2019,JAGIELLOŃSKA 8,97-300,PIOTRKÓW TRYB,
253,05/04/2019,"pl. Kościuszki 12, Tomaszów Mazowiecki",,Tomaszów Mazowiecki,
254,07/04/2019,MOSTOWA 20,97-570,PRZEDBÓRZ,
256,08/04/2019,Zamenhofa 2,90-431,lodz,
257,08/04/2019,ul. Ostrowska 46,63-460,Biskupice Ołoboczne,
258,08/04/2019,BOROWIEC 16,63-450,SOBÓTKA,
262,09/04/2019,UL. SADOWA 2,99-300,KUTNO,
263,09/04/2019,UL. POLITECHNIKI 1,93-590,ŁÓDŹ,
266,09/04/2019,Pojezierska 93 lokal 19,91-314,Łódź,
267,09/04/2019,ul. Obywatelska 110C,,Łódź,
268,09/04/2019,Zamenhofa 2,90-431,lodz,
269,09/04/2019,UL. WOJSKA POLSKIEGO 18,95-060,BRZEZINY,
270,10/04/2019,UL. KOŚCIUSZKI 73,99-300,KUTNO,
271,10/04/2019,"ul. Sienkiewicza 9, Brzeziny",,BRZEZINY,
272,10/04/2019,OPOLCZYKA 15 LOK 6D,92-209,ŁÓDŹ,
273,10/04/2019,PLAC WOLNOŚCIL 14,99-300,KUTNO,
274,10/04/2019,POLNA 32a,98-200,SIERADZ,
275,10/04/2019,UL.PARZEW 18,99-423,BIELAWY,
276,11/04/2019,UL. BELZACKA 69,97-300,PIOTRKÓW TRYBUNALSKI,
277,11/04/2019,MAŁA 2 BOX 36,90-615,ŁÓDŹ,
